accountant,0.04,0.980281608
activist,-0.36,0.320683638
ambassador,0.714,0.047746097
animal trainer,1.111,0.003223119
anthropologist,0.333,0.372846689
archaeologist,0.385,0.148918199
art dealer,1,0.008069411
astronaut,0.391,0.340423476
attorney,-1.375,0.000866295
au pair,1.28,0.000794706
baker,1.556,0.0000559
bank manager,-0.24,0.595227202
banker,-0.12,0.729251146
businessman,-0.318,0.337039753
butcher,-0.16,0.650511642
cashier,1.182,0.002107142
ceo,-0.455,0.131179191
cheerleader,1.462,0.0000891
chemist,0,1
chiropractor,1,0.001031493
comedian,0.741,0.057744539
comptroller,-0.185,0.227174007
computer expert,0.227,0.593441456
congressman,-0.913,0.019994539
cosmetician,1.136,0.004061788
cyclist,0.407,0.168950352
defense lawyer,-1.077,0.009444166
designer,1.28,0.000271758
dietician,1.148,0.00081145
diplomat,0.818,0.021484544
doctor,1,0.026469555
drug dealer,-2.04,0.000122192
drummer,0.25,0.483910286
dry cleaner,0.769,0.01565515
economist,-0.391,0.27878391
entertainer,0.864,0.022544976
entrepreneur,0.16,0.589779423
financial analyst,-0.227,0.562724752
florist,1.385,0.000196805
football coach,-0.769,0.068904118
grocer,0.773,0.060415846
guitarist,1,0.001444911
hotel manager,0.76,0.027748147
house decorator,1.571,0.0000208
illusionist,0.826,0.018192024
interpreter,1.111,0.008545031
investment banker,-1,0.006057646
judge,-0.849,0.000358028
juggler,0.96,0.005020245
juror,-0.179,0.46196664
lawyer,-1.792,0.000185554
lieutenant,-1.074,0.000496545
manager,-0.182,0.520109982
market analyst,-0.64,0.037186115
mathematician,0,0.926960353
merchant,0.583,0.134224949
meteorologist,1.435,0.001010694
movie star,0.455,0.252217437
musician,1.091,0.009533686
naval officer,-0.522,0.195946376
nutritionist,1.037,0.006345521
performer,0.667,0.063786685
physicist,-0.333,0.291889085
physiotherapist,1.227,0.000462016
pianist,1.107,0.001038597
politician,-1.692,0.00015308
priest,1.92,0.000227214
prime minister,-0.111,0.709046376
private investigator,-0.792,0.077179822
probation officer,-0.864,0.031305754
professional dancer,1.192,0.000542619
professor,0.68,0.01768634
proscecutor,-1.818,0.000209733
psychologist,1.259,0.001963632
rabbi,1.643,0.0000335
realter,0.28,0.428146282
recruiter,0.107,0.601813815
rock star,-0.111,0.5659345
runner,0.565,0.080461474
satirist,-0.429,0.197795896
scientist,0.167,0.601431605
secretary,0.923,0.000804035
senator,-0.979,0.0000758
sergeant,-1.489,0.00000484
sniper,-1.48,0.000588332
sociologist,1.182,0.002697302
speech therapist,1.739,0.000465901
statistician,0,0.974516847
stockbroker,-0.571,0.09156053
surfer,1.308,0.000204084
teller,0.654,0.098283377
tennis coach,0.25,0.505928908
tour guide,1.852,0.0000439
travel agent,1.636,0.000451467
veteran,0.481,0.034509657
violinist,1.364,0.000385071
weatherman,1.087,0.010472425
