accountant,-1.038,0.009636671
activist,2.5,1.09E-05
ambassador,1.04,0.020909188
animal trainer,0.667,0.036546341
anthropologist,-0.92,0.008465248
archaeologist,-0.962,0.010716565
art dealer,1.04,0.010557592
astronaut,-0.4,0.210887051
attorney,0.28,0.31904038
au pair,0.423,0.11880687
baker,0.269,0.342066627
bank manager,0.308,0.281383533
banker,0.083,0.947323419
businessman,1.536,0.000237332
butcher,-0.308,0.304697209
cashier,0.393,0.186910112
ceo,0.857,0.055395458
cheerleader,2.308,9.87E-06
chemist,-1.769,6.45E-05
chiropractor,-0.375,0.186300858
comedian,2.76,3.74E-06
comptroller,-0.889,0.003460934
computer expert,-1.08,0.007877283
congressman,1.25,0.001155396
cosmetician,0.84,0.017690159
cyclist,-0.125,0.651164562
defense lawyer,0.654,0.069373034
designer,1.308,0.000249719
dietician,-0.185,0.571976487
diplomat,0.286,0.615165777
doctor,0.08,0.735084517
drug dealer,-0.583,0.101634921
drummer,1.64,0.000198671
dry cleaner,-1,0.001835155
economist,-0.583,0.14874186
entertainer,2.083,2.75E-05
entrepreneur,1.5,0.000412967
financial analyst,-0.75,0.042087147
florist,0.296,0.268283791
football coach,1.92,5.99E-05
grocer,0.458,0.078116039
guitarist,1.077,0.006385961
hotel manager,0.5,0.108853292
house decorator,1.6,0.0002607
illusionist,1.042,0.021844473
interpreter,-0.077,0.86087387
investment banker,-0.423,0.185567222
judge,-0.642,0.008712552
juggler,0.708,0.029761221
juror,-0.76,0.010288064
lawyer,0.885,0.016465919
lieutenant,0.556,0.063188244
manager,0.76,0.020163967
market analyst,-0.269,0.4733882
mathematician,-1.643,0.000109015
merchant,0.92,0.002348079
meteorologist,0.5,0.149474068
movie star,2,3.89E-05
musician,1.52,0.000280869
naval officer,0.083,0.866235117
nutritionist,-0.308,0.248213079
performer,2.12,2.42E-05
physicist,-1.333,0.00133105
physiotherapist,-0.5,0.119269257
pianist,-0.48,0.236130627
politician,1.84,0.000154399
priest,-0.417,0.306988889
prime minister,0.308,0.477516291
private investigator,-1.08,0.005708122
probation officer,-0.286,0.378281169
professional dancer,1.731,0.000272153
professor,0.583,0.136240556
proscecutor,0.357,0.340792225
psychologist,-0.769,0.008042928
rabbi,0.2,0.607783901
realter,1.083,0.012045497
recruiter,1.64,0.00024212
rock star,2.538,3.71E-06
runner,-0.167,0.585061431
satirist,1.12,0.003518438
scientist,-0.875,0.037152174
secretary,-0.148,0.535839774
senator,0.863,0.00035667
sergeant,1.184,2.05E-06
sniper,-1.462,0.00066306
sociologist,-0.125,0.653788846
speech therapist,1,0.008931594
statistician,-1.5,0.000250675
stockbroker,0.24,0.680809345
surfer,0.615,0.084297981
teller,-0.385,0.151681782
tennis coach,0.96,0.010025272
tour guide,2.538,4.19E-06
travel agent,1.75,6.44E-05
veteran,-0.37,0.150785565
violinist,-0.2,0.50628147
weatherman,1.292,0.00097163
